database,test_base,scale,simultaneity,tps_s_mean,tps_s_std,tps_s_count,qps_s_mean,qps_s_std,qps_s_count,lat_avg_mean,lat_avg_std,lat_avg_count,lat_95th_mean,lat_95th_std,lat_95th_count,lat_min_mean,lat_min_std,lat_min_count,lat_max_mean,lat_max_std,lat_max_count,total_time_s_mean,total_time_s_std,total_time_s_count,threads
mysql,read,baixa,parallel,3498.1160337612127,169.17786201308405,10,3498.1160337612127,169.17786201308405,10,14.151,0.6447299176140862,10,22.735000000000003,0.5203043980850705,10,0.195,0.00849836585598798,10,158.999,36.33040735924783,10,60.702,0.4643350658019838,10,50
mysql,read,baixa,sequential,58712.34476484822,99.52414914136564,10,58712.34476484822,99.52414914136564,10,0.85,0.0,10,1.386,0.008432740427115615,10,0.146,0.005163977794943212,10,48.675,5.956391991428665,10,60.01565000000001,0.00450191317355374,10,50
mysql,read,media,parallel,2974.7672660149096,223.0259850447167,10,2974.7672660149096,223.0259850447167,10,16.874000000000002,1.419461556757037,10,53.729,4.777803888817542,10,0.173,0.00674948557710552,10,566.8,82.25132758131562,10,60.09738,0.059159084960244156,10,50
mysql,read,media,sequential,37049.83097725563,148.47746114937118,10,37049.83097725563,148.47746114937118,10,1.35,0.006666666666666659,10,2.504,0.0206559111797729,10,0.16,0.008164965809277266,10,198.825,32.393538536086005,10,60.013940000000005,0.003899629612041505,10,50
mysql,read,alta,parallel,2936.9660995536747,311.2962333337288,10,2936.9660995536747,311.2962333337288,10,17.174,2.138458427102207,10,54.00600000000001,10.81238713492795,10,0.177,0.009486832980505138,10,1062.3110000000001,95.12211069637458,10,60.19067,0.08245594177094476,10,50
mysql,read,alta,sequential,28845.542165068822,30.0874892922367,10,28845.542165068822,30.0874892922367,10,1.732,0.004216370213557817,10,2.6700000000000004,0.02108185106778914,10,0.174,0.006992058987801007,10,106.15899999999999,4.630786950160607,10,60.01502000000001,0.0057202952526742385,10,50
vitess,read,baixa,parallel,534.0672182184107,53.498774084568325,10,534.0672182184107,53.498774084568325,10,94.339,9.748693872628387,10,284.3,18.271166720637552,10,1.355,0.06132789830991362,10,894.323,46.65465179855535,10,60.14973,0.07976355405544397,10,50
vitess,read,baixa,sequential,3619.392313533883,93.86293374994754,10,3619.392313533883,93.86293374994754,10,13.821000000000002,0.35331603731251937,10,35.938,1.4516335625770036,10,1.129,0.029981475762358482,10,192.06599999999997,51.04516174700377,10,60.01485,0.002055480479110493,10,50
vitess,read,media,parallel,554.6266704396513,53.99234446486242,10,554.6266704396513,53.99234446486242,10,90.776,9.161209527131232,10,266.151,19.886292012338522,10,1.29,0.10055402085998905,10,808.54,46.2041518095987,10,60.16662,0.08636667052618167,10,50
vitess,read,media,sequential,3496.6248838038896,167.30770944520367,10,3496.6248838038896,167.30770944520367,10,14.327000000000002,0.6720127313608809,10,36.8,1.7697143523430243,10,1.138,0.024404006956964076,10,173.702,35.28468500008971,10,60.0169,0.002019900987672509,10,50
vitess,read,alta,parallel,569.4080294175764,54.33319320516137,10,569.4080294175764,54.33319320516137,10,88.443,9.187363362551606,10,266.028,18.103570427466007,10,1.452,0.0858681159297986,10,821.883,70.80115756272792,10,60.1592,0.10397094679658091,10,50
vitess,read,alta,sequential,3150.339335971871,124.31946631930136,10,3150.339335971871,124.31946631930136,10,15.892,0.6348893166879128,10,38.696,1.7077743801021634,10,1.182,0.08121302577515233,10,168.286,32.80096956561566,10,60.01583000000001,0.0021370020537615857,10,50
